2020-09-12T23:10:56.056715[UTC], User Name: test, login successful.
2020-09-12T23:11:10.679768[UTC], User Name: test, logout successful.
2020-09-12T23:29:09.394833[UTC], User Name: test, login successful.
2020-09-12T23:29:48.983241[UTC], User Name: test, Updated Appointment: 18
2020-09-12T23:30:16.561733[UTC], User Name: test, Appointment Deleted:  model.Appointment@4e875ac4
2020-09-12T23:33:31.890136[UTC], User Name: user, login successful.
2020-09-12T23:34:00.626957[UTC], User Name: user, Updated Appointment: Appointment ID6
2020-09-12T23:35:19.988967[UTC], User Name: admin, login successful.
2020-09-12T23:35:44.290217[UTC], User Name: admin, Added New Appointment: Appointment ID 20
2020-09-12T23:35:58.176913[UTC], User Name: admin, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-12T23:36:01.235915[UTC], User Name: admin, Report generated: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-12T23:36:03.560916[UTC], User Name: admin, Report generated: APPOINTMENT TYPE SCHEDULE REPORT.
2020-09-12T23:36:49.789873[UTC], User Name: admin, New Customer Added: Customer Name Dexter Hurley
2020-09-12T23:37:00.485158[UTC], User Name: admin, Customer Deleted: Customer Name  John Doe
2020-09-12T23:37:09.634570[UTC], User Name: admin, Customer Deleted: Customer Name  Tom Delonge
2020-09-12T23:37:26.400395[UTC], User Name: admin, Customer Deleted: Customer Name  James Green
2020-09-12T23:37:42.078840[UTC], User Name: admin, Customer Deleted: Customer Name  Dexter Hurley
2020-09-12T23:45:21.109699[UTC], User Name: admin, login successful.
2020-09-12T23:45:42.910499[UTC], User Name: admin,  Add New Customer Successful: Customer ID  6
2020-09-12T23:48:21.258681[UTC], User Name: teamMember, login successful.
2020-09-12T23:48:58.480977[UTC], User Name: teamMember, Add New Appointment Successful: AppointmentID  21
2020-09-12T23:49:36.190489[UTC], User Name: teamMember, Add New Appointment Successful: AppointmentID  22
2020-09-12T23:50:18.353577[UTC], User Name: teamMember, Update Appointment Successful: AppointmentID  22
2020-09-12T23:51:48.683307[UTC], User Name: teamMember, Delete Appointment Successful: AppointmentID  22
2020-09-12T23:54:46.150941[UTC], User Name: teamMember, logout successful.
2020-09-12T23:56:26.593924[UTC], User Name: test, login successful.
2020-09-12T23:56:35.647807[UTC], User Name: test, logout successful.
2020-09-13T02:21:17.388588[UTC], User Name: test, login successful.
2020-09-13T02:21:26.694099[UTC], User Name: test, logout successful.
2020-09-13T02:21:46.700652[UTC], User Name: test, login successful.
2020-09-13T02:22:11.857468[UTC], User Name: test, logout successful.
2020-09-13T03:15:12.577317[UTC], User Name: test, login successful.
2020-09-13T03:15:14.197710[UTC], User Name: test, logout successful.
2020-09-13T03:46:29.104193[UTC], User Name: user, login successful.
2020-09-13T03:48:22.140795[UTC], User Name: user, Report generated: # OF APPOINTMENT TYPE BY MONTH REPORT.
2020-09-13T03:48:24.721809[UTC], User Name: user, Report generated: CONSULTANT(USER) SCHEDULE REPORT.
2020-09-13T03:48:27.032079[UTC], User Name: user, Report generated: APPOINTMENT TYPE SCHEDULE REPORT.
2020-09-13T03:49:14.887713[UTC], User Name: user, logout successful.
2020-09-13T03:49:36.691867[UTC], User Name: user, login successful.
2020-09-13T03:50:06.876933[UTC], User Name: user,  Add New Customer Successful: Customer ID  7
2020-09-13T03:50:22.303046[UTC], User Name: user, Deleted Customer Successful: Customer ID  7
2020-09-13T03:50:34.432880[UTC], User Name: user,  Update Customer Successful: Customer ID  6
2020-09-13T03:50:45.164986[UTC], User Name: user,  Update Customer Successful: Customer ID  6
2020-09-13T03:52:53.587845[UTC], User Name: user, Add New Appointment Successful: AppointmentID  22
